Detector,Descriptor,Selector,Img,TTC-Lidar,TTC-Cam,TTC-diff
SHITOMASI,BRISK,SEL_NN,1,12.9722,19.1295,-6.15732
SHITOMASI,BRISK,SEL_NN,2,12.264,14.4325,-2.16851
SHITOMASI,BRISK,SEL_NN,3,13.9161,14.1413,-0.22512
SHITOMASI,BRISK,SEL_NN,4,14.8865,14.8718,0.0147634
SHITOMASI,BRISK,SEL_NN,5,12.1873,13.4119,-1.22463
SHITOMASI,BRISK,SEL_NN,6,7.50199,13.5266,-6.02458
SHITOMASI,BRISK,SEL_NN,7,34.3404,13.4789,20.8615
SHITOMASI,BRISK,SEL_NN,8,18.7875,14.2028,4.58471
SHITOMASI,BRISK,SEL_NN,9,15.8894,11.5429,4.34648
SHITOMASI,BRISK,SEL_NN,10,13.7297,-inf,inf
SHITOMASI,BRISK,SEL_NN,11,10.4914,13.2654,-2.77398
SHITOMASI,BRISK,SEL_NN,12,10.1,12.0281,-1.92808
SHITOMASI,BRISK,SEL_NN,13,9.22307,12.5802,-3.35715
SHITOMASI,BRISK,SEL_NN,14,10.9678,12.675,-1.70725
SHITOMASI,BRISK,SEL_NN,15,8.09422,9.31344,-1.21922
SHITOMASI,BRISK,SEL_NN,16,8.81392,13.1274,-4.31345
SHITOMASI,BRISK,SEL_NN,17,10.2926,10.9452,-0.652615
SHITOMASI,BRISK,SEL_NN,18,8.30978,9.20014,-0.890364

SHITOMASI,BRISK,SEL_KNN,1,12.9722,13.9019,-0.929763
SHITOMASI,BRISK,SEL_KNN,2,12.264,11.3543,0.909752
SHITOMASI,BRISK,SEL_KNN,3,13.9161,13.4904,0.425737
SHITOMASI,BRISK,SEL_KNN,4,14.8865,12.398,2.48855
SHITOMASI,BRISK,SEL_KNN,5,12.1873,12.6754,-0.488142
SHITOMASI,BRISK,SEL_KNN,6,7.50199,15.1783,-7.67628
SHITOMASI,BRISK,SEL_KNN,7,34.3404,9.85209,24.4883
SHITOMASI,BRISK,SEL_KNN,8,18.7875,12.0583,6.72927
SHITOMASI,BRISK,SEL_KNN,9,15.8894,11.5126,4.37676
SHITOMASI,BRISK,SEL_KNN,10,13.7297,14.685,-0.955381
SHITOMASI,BRISK,SEL_KNN,11,10.4914,11.3024,-0.811009
SHITOMASI,BRISK,SEL_KNN,12,10.1,11.6524,-1.55241
SHITOMASI,BRISK,SEL_KNN,13,9.22307,11.7243,-2.50128
SHITOMASI,BRISK,SEL_KNN,14,10.9678,11.5069,-0.539091
SHITOMASI,BRISK,SEL_KNN,15,8.09422,9.33785,-1.24363
SHITOMASI,BRISK,SEL_KNN,16,8.81392,10.7161,-1.90219
SHITOMASI,BRISK,SEL_KNN,17,10.2926,11.4487,-1.15617
SHITOMASI,BRISK,SEL_KNN,18,8.30978,9.12792,-0.818144

SHITOMASI,BRIEF,SEL_NN,1,12.9722,14.4367,-1.46454
SHITOMASI,BRIEF,SEL_NN,2,12.264,14.4019,-2.13789
SHITOMASI,BRIEF,SEL_NN,3,13.9161,9.73978,4.17635
SHITOMASI,BRIEF,SEL_NN,4,14.8865,14.982,-0.0954879
SHITOMASI,BRIEF,SEL_NN,5,12.1873,12.3866,-0.199329
SHITOMASI,BRIEF,SEL_NN,6,7.50199,13.2703,-5.76833
SHITOMASI,BRIEF,SEL_NN,7,34.3404,15.8328,18.5076
SHITOMASI,BRIEF,SEL_NN,8,18.7875,11.8818,6.90569
SHITOMASI,BRIEF,SEL_NN,9,15.8894,11.6421,4.24732
SHITOMASI,BRIEF,SEL_NN,10,13.7297,12.9491,0.780532
SHITOMASI,BRIEF,SEL_NN,11,10.4914,11.4982,-1.00679
SHITOMASI,BRIEF,SEL_NN,12,10.1,11.7515,-1.6515
SHITOMASI,BRIEF,SEL_NN,13,9.22307,11.7197,-2.49661
SHITOMASI,BRIEF,SEL_NN,14,10.9678,11.3557,-0.387933
SHITOMASI,BRIEF,SEL_NN,15,8.09422,12.3397,-4.24546
SHITOMASI,BRIEF,SEL_NN,16,8.81392,9.04476,-0.230832
SHITOMASI,BRIEF,SEL_NN,17,10.2926,11.1382,-0.845641
SHITOMASI,BRIEF,SEL_NN,18,8.30978,8.97434,-0.664557

SHITOMASI,BRIEF,SEL_KNN,1,12.9722,13.8948,-0.922606
SHITOMASI,BRIEF,SEL_KNN,2,12.264,13.1487,-0.884632
SHITOMASI,BRIEF,SEL_KNN,3,13.9161,13.3827,0.533424
SHITOMASI,BRIEF,SEL_KNN,4,14.8865,13.6506,1.23591
SHITOMASI,BRIEF,SEL_KNN,5,12.1873,12.1848,0.0024914
SHITOMASI,BRIEF,SEL_KNN,6,7.50199,13.8952,-6.39324
SHITOMASI,BRIEF,SEL_KNN,7,34.3404,18.3368,16.0037
SHITOMASI,BRIEF,SEL_KNN,8,18.7875,12.3793,6.4082
SHITOMASI,BRIEF,SEL_KNN,9,15.8894,10.2093,5.68007
SHITOMASI,BRIEF,SEL_KNN,10,13.7297,13.3448,0.384861
SHITOMASI,BRIEF,SEL_KNN,11,10.4914,11.0986,-0.607221
SHITOMASI,BRIEF,SEL_KNN,12,10.1,11.2117,-1.11169
SHITOMASI,BRIEF,SEL_KNN,13,9.22307,12.0205,-2.79744
SHITOMASI,BRIEF,SEL_KNN,14,10.9678,12.1773,-1.20958
SHITOMASI,BRIEF,SEL_KNN,15,8.09422,11.8818,-3.78761
SHITOMASI,BRIEF,SEL_KNN,16,8.81392,10.7212,-1.90727
SHITOMASI,BRIEF,SEL_KNN,17,10.2926,11.0839,-0.791391
SHITOMASI,BRIEF,SEL_KNN,18,8.30978,7.75039,0.55939

SHITOMASI,ORB,SEL_NN,1,12.9722,14.3429,-1.37075
SHITOMASI,ORB,SEL_NN,2,12.264,11.9213,0.342738
SHITOMASI,ORB,SEL_NN,3,13.9161,12.0682,1.84789
SHITOMASI,ORB,SEL_NN,4,14.8865,14.0967,0.789779
SHITOMASI,ORB,SEL_NN,5,12.1873,12.3,-0.112738
SHITOMASI,ORB,SEL_NN,6,7.50199,13.4234,-5.92144
SHITOMASI,ORB,SEL_NN,7,34.3404,12.8653,21.4751
SHITOMASI,ORB,SEL_NN,8,18.7875,12.1304,6.65717
SHITOMASI,ORB,SEL_NN,9,15.8894,11.2285,4.66086
SHITOMASI,ORB,SEL_NN,10,13.7297,13.8117,-0.0820695
SHITOMASI,ORB,SEL_NN,11,10.4914,11.4758,-0.984433
SHITOMASI,ORB,SEL_NN,12,10.1,11.5615,-1.46153
SHITOMASI,ORB,SEL_NN,13,9.22307,11.6524,-2.42936
SHITOMASI,ORB,SEL_NN,14,10.9678,11.8438,-0.876069
SHITOMASI,ORB,SEL_NN,15,8.09422,10.6503,-2.55613
SHITOMASI,ORB,SEL_NN,16,8.81392,9.91297,-1.09904
SHITOMASI,ORB,SEL_NN,17,10.2926,9.5383,0.754252
SHITOMASI,ORB,SEL_NN,18,8.30978,8.19655,0.113229

SHITOMASI,ORB,SEL_KNN,1,12.9722,13.6954,-0.723215
SHITOMASI,ORB,SEL_KNN,2,12.264,12.2338,0.0302134
SHITOMASI,ORB,SEL_KNN,3,13.9161,11.8924,2.02376
SHITOMASI,ORB,SEL_KNN,4,14.8865,12.1319,2.75463
SHITOMASI,ORB,SEL_KNN,5,12.1873,12.1312,0.0560824
SHITOMASI,ORB,SEL_KNN,6,7.50199,13.7589,-6.25692
SHITOMASI,ORB,SEL_KNN,7,34.3404,12.3426,21.9978
SHITOMASI,ORB,SEL_KNN,8,18.7875,12.2022,6.5853
SHITOMASI,ORB,SEL_KNN,9,15.8894,11.2653,4.62408
SHITOMASI,ORB,SEL_KNN,10,13.7297,13.4962,0.233488
SHITOMASI,ORB,SEL_KNN,11,10.4914,11.3027,-0.811276
SHITOMASI,ORB,SEL_KNN,12,10.1,11.2447,-1.14469
SHITOMASI,ORB,SEL_KNN,13,9.22307,12.3436,-3.12052
SHITOMASI,ORB,SEL_KNN,14,10.9678,11.545,-0.577249
SHITOMASI,ORB,SEL_KNN,15,8.09422,10.2592,-2.16496
SHITOMASI,ORB,SEL_KNN,16,8.81392,11.1584,-2.3445
SHITOMASI,ORB,SEL_KNN,17,10.2926,10.8416,-0.54909
SHITOMASI,ORB,SEL_KNN,18,8.30978,8.43174,-0.121958



HARRIS,BRISK,SEL_NN,1,12.9722,nan,nan
HARRIS,BRISK,SEL_NN,2,12.264,0.178141,12.0859
HARRIS,BRISK,SEL_NN,3,13.9161,43.3848,-29.4687
HARRIS,BRISK,SEL_NN,4,14.8865,10.9782,3.90828
HARRIS,BRISK,SEL_NN,5,12.1873,40.9362,-28.749
HARRIS,BRISK,SEL_NN,6,7.50199,38.5563,-31.0543
HARRIS,BRISK,SEL_NN,7,34.3404,10.965,23.3755
HARRIS,BRISK,SEL_NN,8,18.7875,-1.05872,19.8462
HARRIS,BRISK,SEL_NN,9,15.8894,10.5237,5.36569
HARRIS,BRISK,SEL_NN,10,13.7297,nan,nan
HARRIS,BRISK,SEL_NN,11,10.4914,-1.51993,12.0113
HARRIS,BRISK,SEL_NN,12,10.1,-inf,inf
HARRIS,BRISK,SEL_NN,13,9.22307,11.4828,-2.25978
HARRIS,BRISK,SEL_NN,14,10.9678,-11.422,22.3898
HARRIS,BRISK,SEL_NN,15,8.09422,0.218529,7.87569
HARRIS,BRISK,SEL_NN,16,8.81392,31.7763,-22.9623
HARRIS,BRISK,SEL_NN,17,10.2926,nan,nan
HARRIS,BRISK,SEL_NN,18,8.30978,-0.56345,8.87323

HARRIS,BRIEF,SEL_NN,1,12.9722,nan,nan
HARRIS,BRIEF,SEL_NN,2,12.264,10.5,1.76404
HARRIS,BRIEF,SEL_NN,3,13.9161,43.3848,-29.4687
HARRIS,BRIEF,SEL_NN,4,14.8865,9.03176,5.85477
HARRIS,BRIEF,SEL_NN,5,12.1873,48.3849,-36.1976
HARRIS,BRIEF,SEL_NN,6,7.50199,11.7612,-4.2592
HARRIS,BRIEF,SEL_NN,7,34.3404,13.6852,20.6553
HARRIS,BRIEF,SEL_NN,8,18.7875,11.0939,7.69358
HARRIS,BRIEF,SEL_NN,9,15.8894,10.5237,5.36569
HARRIS,BRIEF,SEL_NN,10,13.7297,2.64633,11.0833
HARRIS,BRIEF,SEL_NN,11,10.4914,-0.435643,10.927
HARRIS,BRIEF,SEL_NN,12,10.1,-inf,inf
